productname                                        ListPrice             ProductSubCategory                                 ProductCategory                                    PriceRank            CategoryPriceRank
-------------------------------------------------- --------------------- -------------------------------------------------- -------------------------------------------------- -------------------- --------------------
All-Purpose Bike Stand                             159.00                Bike Stands                                        Accessories                                        192                  1
AWC Logo Cap                                       8.99                  Caps                                               Clothing                                           286                  1
Bike Wash - Dissolver                              7.95                  Cleaners                                           Accessories                                        290                  1
Cable Lock                                         25.00                 Locks                                              Accessories                                        271                  1
Chain                                              20.24                 Chains                                             Components                                         280                  1
Classic Vest, L                                    63.50                 Vests                                              Clothing                                           224                  1
Classic Vest, M                                    63.50                 Vests                                              Clothing                                           223                  1
Classic Vest, S                                    63.50                 Vests                                              Clothing                                           222                  1
Fender Set - Mountain                              21.98                 Fenders                                            Accessories                                        278                  1
Front Brakes                                       106.50                Brakes                                             Components                                         203                  1
Front Derailleur                                   91.49                 Derailleurs                                        Components                                         207                  1
Full-Finger Gloves, L                              37.99                 Gloves                                             Clothing                                           258                  1
Full-Finger Gloves, M                              37.99                 Gloves                                             Clothing                                           257                  1
Full-Finger Gloves, S                              37.99                 Gloves                                             Clothing                                           256                  1
Half-Finger Gloves, L                              24.49                 Gloves                                             Clothing                                           277                  1
Half-Finger Gloves, M                              24.49                 Gloves                                             Clothing                                           276                  1
Half-Finger Gloves, S                              24.49                 Gloves                                             Clothing                                           275                  1
Headlights - Dual-Beam                             34.99                 Lights                                             Accessories                                        260                  1
Headlights - Weatherproof                          44.99                 Lights                                             Accessories                                        248                  1
Hitch Rack - 4-Bike                                120.00                Bike Racks                                         Accessories                                        200                  1
HL Bottom Bracket                                  121.49                Bottom Brackets                                    Components                                         196                  1
HL Crankset                                        404.99                Cranksets                                          Components                                         137                  1
HL Fork                                            229.49                Forks                                              Components                                         187                  1
HL Headset                                         124.73                Headsets                                           Components                                         195                  1
HL Mountain Frame - Black, 38                      1349.60               Mountain Frames                                    Components                                         65                   1
HL Mountain Frame - Black, 42                      1349.60               Mountain Frames                                    Components                                         61                   1
HL Mountain Frame - Black, 44                      1349.60               Mountain Frames                                    Components                                         62                   1
HL Mountain Frame - Black, 46                      1349.60               Mountain Frames                                    Components                                         64                   1
HL Mountain Frame - Black, 48                      1349.60               Mountain Frames                                    Components                                         63                   1
HL Mountain Frame - Silver, 38                     1364.50               Mountain Frames                                    Components                                         56                   1
HL Mountain Frame - Silver, 42                     1364.50               Mountain Frames                                    Components                                         57                   1
HL Mountain Frame - Silver, 44                     1364.50               Mountain Frames                                    Components                                         58                   1
HL Mountain Frame - Silver, 46                     1364.50               Mountain Frames                                    Components                                         60                   1
HL Mountain Frame - Silver, 48                     1364.50               Mountain Frames                                    Components                                         59                   1
HL Mountain Front Wheel                            300.215               Wheels                                             Components                                         171                  1
HL Mountain Handlebars                             120.27                Handlebars                                         Components                                         199                  1
HL Mountain Pedal                                  80.99                 Pedals                                             Components                                         213                  1
HL Mountain Rear Wheel                             327.215               Wheels                                             Components                                         170                  1
HL Mountain Seat/Saddle                            52.64                 Saddles                                            Components                                         241                  1
HL Mountain Tire                                   35.00                 Tires and Tubes                                    Accessories                                        259                  1
HL Road Frame - Black, 44                          1431.50               Road Frames                                        Components                                         53                   1
HL Road Frame - Black, 48                          1431.50               Road Frames                                        Components                                         54                   1
HL Road Frame - Black, 52                          1431.50               Road Frames                                        Components                                         55                   1
HL Road Frame - Black, 58                          1431.50               Road Frames                                        Components                                         45                   1
HL Road Frame - Black, 62                          1431.50               Road Frames                                        Components                                         52                   1
HL Road Frame - Red, 44                            1431.50               Road Frames                                        Components                                         48                   1
HL Road Frame - Red, 48                            1431.50               Road Frames                                        Components                                         49                   1
HL Road Frame - Red, 52                            1431.50               Road Frames                                        Components                                         50                   1
HL Road Frame - Red, 56                            1431.50               Road Frames                                        Components                                         51                   1
HL Road Frame - Red, 58                            1431.50               Road Frames                                        Components                                         46                   1
HL Road Frame - Red, 62                            1431.50               Road Frames                                        Components                                         47                   1
HL Road Front Wheel                                330.06                Wheels                                             Components                                         169                  1
HL Road Handlebars                                 120.27                Handlebars                                         Components                                         198                  1
HL Road Pedal                                      80.99                 Pedals                                             Components                                         214                  1
HL Road Rear Wheel                                 357.06                Wheels                                             Components                                         142                  1
HL Road Seat/Saddle                                52.64                 Saddles                                            Components                                         242                  1
HL Road Tire                                       32.60                 Tires and Tubes                                    Accessories                                        265                  1
HL Touring Frame - Blue, 46                        1003.91               Touring Frames                                     Components                                         82                   1
HL Touring Frame - Blue, 50                        1003.91               Touring Frames                                     Components                                         83                   1
HL Touring Frame - Blue, 54                        1003.91               Touring Frames                                     Components                                         84                   1
HL Touring Frame - Blue, 60                        1003.91               Touring Frames                                     Components                                         85                   1
HL Touring Frame - Yellow, 46                      1003.91               Touring Frames                                     Components                                         79                   1
HL Touring Frame - Yellow, 50                      1003.91               Touring Frames                                     Components                                         80                   1
HL Touring Frame - Yellow, 54                      1003.91               Touring Frames                                     Components                                         81                   1
HL Touring Frame - Yellow, 60                      1003.91               Touring Frames                                     Components                                         86                   1
HL Touring Handlebars                              91.57                 Handlebars                                         Components                                         206                  1
HL Touring Seat/Saddle                             52.64                 Saddles                                            Components                                         240                  1
Hydration Pack - 70 oz.                            54.99                 Hydration Packs                                    Accessories                                        234                  1
LL Bottom Bracket                                  53.99                 Bottom Brackets                                    Components                                         239                  1
LL Crankset                                        175.49                Cranksets                                          Components                                         191                  1
LL Fork                                            148.22                Forks                                              Components                                         193                  1
LL Headset                                         34.20                 Headsets                                           Components                                         264                  1
LL Mountain Frame - Black, 40                      249.79                Mountain Frames                                    Components                                         179                  1
LL Mountain Frame - Black, 42                      249.79                Mountain Frames                                    Components                                         180                  1
LL Mountain Frame - Black, 44                      249.79                Mountain Frames                                    Components                                         181                  1
LL Mountain Frame - Black, 48                      249.79                Mountain Frames                                    Components                                         182                  1
LL Mountain Frame - Black, 52                      249.79                Mountain Frames                                    Components                                         183                  1
LL Mountain Frame - Silver, 40                     264.05                Mountain Frames                                    Components                                         177                  1
LL Mountain Frame - Silver, 42                     264.05                Mountain Frames                                    Components                                         173                  1
LL Mountain Frame - Silver, 44                     264.05                Mountain Frames                                    Components                                         174                  1
LL Mountain Frame - Silver, 48                     264.05                Mountain Frames                                    Components                                         175                  1
LL Mountain Frame - Silver, 52                     264.05                Mountain Frames                                    Components                                         176                  1
LL Mountain Front Wheel                            60.745                Wheels                                             Components                                         229                  1
LL Mountain Handlebars                             44.54                 Handlebars                                         Components                                         250                  1
LL Mountain Pedal                                  40.49                 Pedals                                             Components                                         252                  1
LL Mountain Rear Wheel                             87.745                Wheels                                             Components                                         211                  1
LL Mountain Seat/Saddle                            27.12                 Saddles                                            Components                                         268                  1
LL Mountain Tire                                   24.99                 Tires and Tubes                                    Accessories                                        274                  1
LL Road Frame - Black, 44                          337.22                Road Frames                                        Components                                         147                  1
LL Road Frame - Black, 48                          337.22                Road Frames                                        Components                                         148                  1
LL Road Frame - Black, 52                          337.22                Road Frames                                        Components                                         149                  1
LL Road Frame - Black, 58                          337.22                Road Frames                                        Components                                         150                  1
LL Road Frame - Black, 60                          337.22                Road Frames                                        Components                                         151                  1
LL Road Frame - Black, 62                          337.22                Road Frames                                        Components                                         152                  1
LL Road Frame - Red, 44                            337.22                Road Frames                                        Components                                         153                  1
LL Road Frame - Red, 48                            337.22                Road Frames                                        Components                                         154                  1
LL Road Frame - Red, 52                            337.22                Road Frames                                        Components                                         155                  1
LL Road Frame - Red, 58                            337.22                Road Frames                                        Components                                         156                  1
LL Road Frame - Red, 60                            337.22                Road Frames                                        Components                                         157                  1
LL Road Frame - Red, 62                            337.22                Road Frames                                        Components                                         158                  1
LL Road Front Wheel                                85.565                Wheels                                             Components                                         212                  1
LL Road Handlebars                                 44.54                 Handlebars                                         Components                                         249                  1
LL Road Pedal                                      40.49                 Pedals                                             Components                                         251                  1
LL Road Rear Wheel                                 112.565               Wheels                                             Components                                         201                  1
LL Road Seat/Saddle                                27.12                 Saddles                                            Components                                         270                  1
LL Road Tire                                       21.49                 Tires and Tubes                                    Accessories                                        279                  1
LL Touring Frame - Blue, 44                        333.42                Touring Frames                                     Components                                         168                  1
LL Touring Frame - Blue, 50                        333.42                Touring Frames                                     Components                                         160                  1
LL Touring Frame - Blue, 54                        333.42                Touring Frames                                     Components                                         161                  1
LL Touring Frame - Blue, 58                        333.42                Touring Frames                                     Components                                         162                  1
LL Touring Frame - Blue, 62                        333.42                Touring Frames                                     Components                                         163                  1
LL Touring Frame - Yellow, 44                      333.42                Touring Frames                                     Components                                         164                  1
LL Touring Frame - Yellow, 50                      333.42                Touring Frames                                     Components                                         165                  1
LL Touring Frame - Yellow, 54                      333.42                Touring Frames                                     Components                                         166                  1
LL Touring Frame - Yellow, 58                      333.42                Touring Frames                                     Components                                         167                  1
LL Touring Frame - Yellow, 62                      333.42                Touring Frames                                     Components                                         159                  1
LL Touring Handlebars                              46.09                 Handlebars                                         Components                                         247                  1
LL Touring Seat/Saddle                             27.12                 Saddles                                            Components                                         269                  1
Long-Sleeve Logo Jersey, L                         49.99                 Jerseys                                            Clothing                                           245                  1
Long-Sleeve Logo Jersey, M                         49.99                 Jerseys                                            Clothing                                           244                  1
Long-Sleeve Logo Jersey, S                         49.99                 Jerseys                                            Clothing                                           243                  1
Long-Sleeve Logo Jersey, XL                        49.99                 Jerseys                                            Clothing                                           246                  1
Men's Bib-Shorts, L                                89.99                 Bib-Shorts                                         Clothing                                           210                  1
Men's Bib-Shorts, M                                89.99                 Bib-Shorts                                         Clothing                                           209                  1
Men's Bib-Shorts, S                                89.99                 Bib-Shorts                                         Clothing                                           208                  1
Men's Sports Shorts, L                             59.99                 Shorts                                             Clothing                                           231                  1
Men's Sports Shorts, M                             59.99                 Shorts                                             Clothing                                           230                  1
Men's Sports Shorts, S                             59.99                 Shorts                                             Clothing                                           233                  1
Men's Sports Shorts, XL                            59.99                 Shorts                                             Clothing                                           232                  1
Minipump                                           19.99                 Pumps                                              Accessories                                        281                  1
ML Bottom Bracket                                  101.24                Bottom Brackets                                    Components                                         205                  1
ML Crankset                                        256.49                Cranksets                                          Components                                         178                  1
ML Fork                                            175.49                Forks                                              Components                                         190                  1
ML Headset                                         102.29                Headsets                                           Components                                         204                  1
ML Mountain Frame - Black, 38                      348.76                Mountain Frames                                    Components                                         146                  1
ML Mountain Frame - Black, 40                      348.76                Mountain Frames                                    Components                                         143                  1
ML Mountain Frame - Black, 44                      348.76                Mountain Frames                                    Components                                         144                  1
ML Mountain Frame - Black, 48                      348.76                Mountain Frames                                    Components                                         145                  1
