productname                                        ListPrice             ProductSubCategory                                 ProductCategory                                    PriceRank            CategoryPriceRank    Top5PriceInCategory
-------------------------------------------------- --------------------- -------------------------------------------------- -------------------------------------------------- -------------------- -------------------- -------------------
Patch Kit/8 Patches                                2.29                  Tires and Tubes                                    Accessories                                        1                    1                    Yes
Road Tire Tube                                     3.99                  Tires and Tubes                                    Accessories                                        1                    1                    Yes
Mountain Tire Tube                                 4.99                  Tires and Tubes                                    Accessories                                        2                    1                    Yes
Touring Tire Tube                                  4.99                  Tires and Tubes                                    Accessories                                        1                    1                    Yes
Water Bottle - 30 oz.                              4.99                  Bottles and Cages                                  Accessories                                        3                    1                    Yes
Bike Wash - Dissolver                              7.95                  Cleaners                                           Accessories                                        1                    1                    Yes
Road Bottle Cage                                   8.99                  Bottles and Cages                                  Accessories                                        4                    1                    Yes
Racing Socks, L                                    8.99                  Socks                                              Clothing                                           2                    1                    Yes
Racing Socks, M                                    8.99                  Socks                                              Clothing                                           1                    1                    Yes
AWC Logo Cap                                       8.99                  Caps                                               Clothing                                           3                    1                    Yes
Mountain Bike Socks, L                             9.50                  Socks                                              Clothing                                           2                    1                    Yes
Mountain Bike Socks, M                             9.50                  Socks                                              Clothing                                           1                    1                    Yes
Mountain Bottle Cage                               9.99                  Bottles and Cages                                  Accessories                                        1                    1                    Yes
Taillights - Battery-Powered                       13.99                 Lights                                             Accessories                                        1                    1                    Yes
Minipump                                           19.99                 Pumps                                              Accessories                                        1                    1                    Yes
Chain                                              20.24                 Chains                                             Components                                         1                    1                    Yes
LL Road Tire                                       21.49                 Tires and Tubes                                    Accessories                                        1                    1                    Yes
Fender Set - Mountain                              21.98                 Fenders                                            Accessories                                        1                    1                    Yes
Half-Finger Gloves, L                              24.49                 Gloves                                             Clothing                                           3                    1                    Yes
Half-Finger Gloves, M                              24.49                 Gloves                                             Clothing                                           2                    1                    Yes
Half-Finger Gloves, S                              24.49                 Gloves                                             Clothing                                           1                    1                    Yes
LL Mountain Tire                                   24.99                 Tires and Tubes                                    Accessories                                        3                    1                    Yes
ML Road Tire                                       24.99                 Tires and Tubes                                    Accessories                                        2                    1                    Yes
